name,kana,lat,lng,value
岩泉,ｲﾜｲｽﾞﾐ,39.85,141.8,4.5
小本,ｵﾓﾄ,39.85,141.96,4
葛根田,ｶｯｺﾝﾀﾞ,39.78,140.95,128.5
滝沢,ﾀｷｻﾞﾜ,39.78,141.1,94
薮川,ﾔﾌﾞｶﾜ,39.78,141.33,56.5
雫石,ｼｽﾞｸｲｼ,39.7,140.98,57.5
盛岡,ﾓﾘｵｶ,39.7,141.17,66.5
区界,ｸｻﾞｶｲ,39.65,141.35,37
宮古,ﾐﾔｺ,39.65,141.97,11
沢内,ｻﾜｳﾁ,39.55,140.84,40.5
紫波,ｼﾜ,39.55,141.13,36
川井,ｶﾜｲ,39.6,141.68,30
豊沢,ﾄﾖｻﾜ,39.48,140.97,47.5
花巻,ﾊﾅﾏｷ,39.43,141.14,35
大迫,ｵｵﾊｻﾏ,39.47,141.28,30
附馬牛,ﾂｷﾓｳｼ,39.46,141.51,28.5
大槌,ｵｵﾂﾁ,39.44,141.81,12
山田,ﾔﾏﾀﾞ,39.45,141.96,13
湯田,ﾕﾀﾞ,39.31,140.78,94
遠野,ﾄｵﾉ,39.34,141.54,21.5
金ヶ崎,ｶﾈｶﾞｻｷ,39.23,141.02,98
北上,ｷﾀｶﾐ,39.29,141.11,54
米里,ﾖﾈｻﾄ,39.23,141.31,53
釜石,ｶﾏｲｼ,39.27,141.88,16
若柳,ﾜｶﾔﾅｷﾞ,39.14,141.06,64.5
江刺,ｴｻｼ,39.18,141.16,119
住田,ｽﾐﾀ,39.14,141.57,45.5
祭畤,ﾏﾂﾙﾍﾞ,39.01,140.87,69
衣川,ｺﾛﾓｶﾞﾜ,39.05,141.05,69
大東,ﾀﾞｲﾄｳ,39.04,141.3,74
大船渡,ｵｵﾌﾅﾄ,39.06,141.71,36
一関,ｲﾁﾉｾｷ,38.93,141.13,43.5
千厩,ｾﾝﾏﾔ,38.92,141.33,36
